question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes
gsm-hard-b2-111,True,11,4,6,4,1,0.5454545454545454,0.36363636363636365,0,0,1,2,1.0,1.0,0
gsm-hard-b2-112,True,7,5,3,2,1,0.42857142857142855,0.2857142857142857,0,0,2,2,1.0,1.0,0
gsm-hard-b2-113,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0
gsm-hard-b2-114,True,8,4,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0
gsm-hard-b2-115,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-116,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-117,True,7,5,5,1,1,0.7142857142857143,0.14285714285714285,0,0,1,3,1.1428571428571428,1.1428571428571428,0
gsm-hard-b2-118,True,7,3,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,2,1.0,1.0,0
gsm-hard-b2-119,True,11,7,3,3,1,0.2727272727272727,0.2727272727272727,0,0,3,3,1.3636363636363635,1.3636363636363635,0
gsm-hard-b2-120,True,10,5,7,2,1,0.7,0.2,0,0,1,3,1.2,1.2,0
gsm-hard-b2-121,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-122,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-123,True,10,5,5,4,1,0.5,0.4,0,0,1,2,1.0,1.0,0
gsm-hard-b2-124,True,8,4,4,3,1,0.5,0.375,0,0,1,2,1.0,1.0,0
gsm-hard-b2-125,False,12,6,6,5,1,0.5,0.4166666666666667,0,0,1,1,0.9166666666666666,0.9166666666666666,0
gsm-hard-b2-126,False,9,7,5,1,1,0.5555555555555556,0.1111111111111111,0,0,1,2,1.0,1.0,1
gsm-hard-b2-127,True,6,5,1,4,1,0.16666666666666666,0.6666666666666666,0,0,1,2,1.0,1.0,0
gsm-hard-b2-128,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-129,True,7,4,2,3,1,0.2857142857142857,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
